"","id","imdbId","movieId","tmdbId","original_title","title","popularity","release_date","revenue","runtime","budget","vote_average","vote_count","original_language"
"1",862,"0114709",1,862,"Toy Story","Toy Story",21.946943,1995-10-30,373554033,81,3e+07,7.7,5415,"en"
"2",8844,"0113497",2,8844,"Jumanji","Jumanji",17.015539,1995-12-15,262797249,104,6.5e+07,6.9,2413,"en"
"3",11862,"0113041",5,11862,"Father of the Bride Part II","Father of the Bride Part II",8.387519,1995-02-10,76578911,106,NA,5.7,173,"en"
"4",949,"0113277",6,949,"Heat","Heat",17.924927,1995-12-15,187436818,170,6e+07,7.7,1886,"en"
"5",11860,"0114319",7,11860,"Sabrina","Sabrina",6.677277,1995-12-15,NA,127,5.8e+07,6.2,141,"en"
"6",9091,"0114576",9,9091,"Sudden Death","Sudden Death",5.23158,1995-12-22,64350171,106,3.5e+07,5.5,174,"en"
"7",710,"0113189",10,710,"GoldenEye","GoldenEye",14.686036,1995-11-16,352194034,130,5.8e+07,6.6,1194,"en"
"8",9087,"0112346",11,9087,"The American President","The American President",6.318445,1995-11-17,107879496,106,6.2e+07,6.5,199,"en"
"9",12110,"0112896",12,12110,"Dracula: Dead and Loving It","Dracula: Dead and Loving It",5.430331,1995-12-22,NA,88,NA,5.7,210,"en"
"10",21032,"0112453",13,21032,"Balto","Balto",12.140733,1995-12-22,11348324,78,NA,7.1,423,"en"
"11",1408,"0112760",15,1408,"Cutthroat Island","Cutthroat Island",7.284477,1995-12-22,10017322,119,9.8e+07,5.7,137,"en"
"12",524,"0112641",16,524,"Casino","Casino",10.137389,1995-11-22,116112375,178,5.2e+07,7.8,1343,"en"
"13",4584,"0114388",17,4584,"Sense and Sensibility","Sense and Sensibility",10.673167,1995-12-13,1.35e+08,136,16500000,7.2,364,"en"
"14",5,"0113101",18,5,"Four Rooms","Four Rooms",9.026586,1995-12-09,4300000,98,4e+06,6.5,539,"en"
"15",9273,"0112281",19,9273,"Ace Ventura: When Nature Calls","Ace Ventura: When Nature Calls",8.205448,1995-11-10,212385533,90,3e+07,6.1,1128,"en"
"16",11517,"0113845",20,11517,"Money Train","Money Train",7.337906,1995-11-21,35431113,103,6e+07,5.4,224,"en"
"17",8012,"0113161",21,8012,"Get Shorty","Get Shorty",12.669608,1995-10-20,115101622,105,30250000,6.4,305,"en"
"18",1710,"0112722",22,1710,"Copycat","Copycat",10.701801,1995-10-27,NA,124,NA,6.5,199,"en"
"19",9691,"0112401",23,9691,"Assassins","Assassins",11.065939,1995-10-06,30303072,132,5e+07,6,394,"en"
"20",12665,"0114168",24,12665,"Powder","Powder",12.133094,1995-10-27,NA,111,NA,6.3,143,"en"
"21",451,"0113627",25,451,"Leaving Las Vegas","Leaving Las Vegas",10.332025,1995-10-27,49800000,112,3600000,7.1,365,"en"
"22",902,"0112682",29,902,"La Cité des Enfants Perdus","The City of Lost Children",9.822423,1995-05-16,1738611,108,1.8e+07,7.6,308,"fr"
"23",9909,"0112792",31,9909,"Dangerous Minds","Dangerous Minds",9.481338,1995-08-11,1.8e+08,99,NA,6.4,249,"en"
"24",63,"0114746",32,63,"Twelve Monkeys","Twelve Monkeys",12.297305,1995-12-29,168840000,129,29500000,7.4,2470,"en"
"25",9598,"0112431",34,9598,"Babe","Babe",14.404764,1995-07-18,254134910,89,3e+07,6,756,"en"
"26",687,"0112818",36,687,"Dead Man Walking","Dead Man Walking",6.891317,1995-12-29,39363635,122,1.1e+07,7.3,350,"en"
"27",33689,"0113442",38,33689,"It Takes Two","It Takes Two",7.777735,1995-11-17,NA,101,NA,6.1,149,"en"
"28",9603,"0112697",39,9603,"Clueless","Clueless",9.882383,1995-07-19,NA,97,1.2e+07,6.9,828,"en"
"29",9312,"0113855",44,9312,"Mortal Kombat","Mortal Kombat",10.870138,1995-08-18,122195920,101,1.8e+07,5.4,452,"en"
"30",577,"0114681",45,577,"To Die For","To Die For",10.448481,1995-05-20,21284514,106,2e+07,6.7,177,"en"
"31",807,"0114369",47,807,"Se7en","Se7en",18.45743,1995-09-22,327311859,127,3.3e+07,8.1,5915,"en"
"32",10530,"0114148",48,10530,"Pocahontas","Pocahontas",13.280069,1995-06-14,346079773,81,5.5e+07,6.7,1509,"en"
"33",629,"0114814",50,629,"The Usual Suspects","The Usual Suspects",16.302466,1995-07-19,23341568,106,6e+06,8.1,3334,"en"
"34",11448,"0113819",52,11448,"Mighty Aphrodite","Mighty Aphrodite",15.899134,1995-09-13,6700000,95,1.5e+07,6.7,145,"en"
"35",11010,"0110877",58,11010,"Il postino","The Postman",10.168437,1994-09-22,NA,108,NA,7.6,181,"it"
"36",11359,"0113419",60,11359,"The Indian in the Cupboard","The Indian in the Cupboard",10.673296,1995-07-14,NA,96,4.5e+07,5.9,136,"en"
"37",2054,"0113862",62,2054,"Mr. Holland's Opus","Mr. Holland's Opus",7.137117,1995-12-29,106269971,137,NA,6.9,115,"en"
"38",10607,"0116126",63,10607,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood","Don't Be a Menace to South Central While Drinking Your Juice in the Hood",11.700115,1996-01-12,NA,89,NA,6.2,192,"en"
"39",9536,"0115683",65,9536,"Bio-Dome","Bio-Dome",6.387469,1996-01-12,NA,88,1.5e+07,4.4,110,"en"
"40",10634,"0113118",69,10634,"Friday","Friday",14.56965,1995-04-26,28215918,91,3500000,7,513,"en"
"41",755,"0116367",70,755,"From Dusk Till Dawn","From Dusk Till Dawn",15.339153,1996-01-19,25836616,108,1.9e+07,6.9,1644,"en"
"42",9102,"0114367",76,9102,"Screamers","Screamers",12.758848,1995-09-08,5781885,108,2e+07,6.1,154,"en"
"43",13997,"0115697",88,13997,"Black Sheep","Black Sheep",8.963037,1996-02-01,32,87,NA,6,124,"en"
"44",2086,"0113972",89,2086,"Nick of Time","Nick of Time",6.848591,1995-11-22,8175346,90,8169363,6.1,190,"en"
"45",12158,"0114825",93,12158,"Vampire in Brooklyn","Vampire in Brooklyn",9.071127,1995-10-26,19800000,100,1.4e+07,4.5,113,"en"
"46",9283,"0115639",94,9283,"Beautiful Girls","Beautiful Girls",4.670562,1996-02-09,NA,112,NA,6.6,103,"en"
"47",9208,"0115759",95,9208,"Broken Arrow","Broken Arrow",14.957626,1996-02-09,150270147,108,5e+07,5.7,459,"en"
"48",406,"0113247",97,406,"La Haine","La Haine",12.108196,1995-05-31,NA,98,3e+06,7.9,695,"fr"
